Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential
Cédric Bakambu,1991-04-11,LaLiga,Real Betis,Right,Congo DR,Forwards,710,0.25,0.25,0.51,0.25,0.0,0.0,0.51,0.0,0.41,0.41,0.08,0.47,1.14,1.77,5.45,3.04,1.39,45.8,0.08,0.18,13.7,0.0,0.13,-0.15,-0.15,10.65,15.97,66.7,122.58,27.63,7.61,9.89,76.9,1.9,3.55,53.6,0.25,0.51,50.0,0.1,1.01,1.14,0.63,0.0,15.21,0.63,0.0,0.13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.13,0.89,1.39,1.14,0.0,0.0,0.13,0.13,0.0,0.38,0.25,0.0,0.0,0.0,0.13,0.0,0.76,0.51,0.0,0.63,0.13,0.38,0.89,42.9,0.51,1.65,0.25,0.0,0.76,0.63,0.0,28.65,0.76,2.03,12.3,14.58,4.18,28.65,0.89,0.13,14.3,0.63,71.4,14.32,64.01,34.73,0.51,0.89,3.55,1.39,19.9,0.0,2.92,0.89,1.52,0.13,0.0,0.0,3.17,1.52,3.3,31.6,1742,34.0,68.17403715774041,68.17403715774041
Juanmi,1993-05-20,LaLiga,Getafe,Right,Spain,Forwards,940,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.34,0.34,0.07,0.4,0.96,1.15,4.4,1.82,0.67,36.8,0.0,0.0,13.2,0.0,0.19,-0.34,-0.34,15.61,19.82,78.7,209.39,38.97,10.91,12.73,85.7,3.16,3.83,82.5,0.96,1.15,83.3,0.03,0.77,0.48,0.48,0.0,18.96,0.86,0.1,0.0,0.0,0.1,0.48,0.0,0.0,0.0,0.0,0.0,1.44,1.34,0.96,0.0,0.19,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.01,1.44,0.67,0.96,0.38,0.96,2.39,40.0,1.44,0.96,0.0,0.29,2.3,0.67,0.0,31.5,0.38,4.4,14.65,12.73,3.26,31.5,1.72,0.77,44.4,0.86,50.0,17.9,85.6,27.48,0.57,0.29,3.26,1.15,20.59,0.0,2.39,1.63,0.67,0.0,0.0,0.0,3.54,1.15,0.86,57.1,1626,32.0,68.46124188967232,68.46124188967232
Borja Iglesias,1993-01-17,LaLiga,Celta Vigo,Right,Spain,Forwards,1952,0.51,0.14,0.65,0.51,0.0,0.0,0.09,0.0,0.43,0.43,0.15,0.58,1.01,1.29,4.98,2.12,1.29,60.9,0.24,0.39,13.4,0.0,0.2,0.08,0.08,15.95,22.55,70.8,229.66,37.81,9.04,11.57,78.1,4.8,6.13,78.2,0.92,1.48,62.5,0.06,0.83,0.92,0.42,0.0,19.6,2.58,0.05,0.37,0.37,0.28,0.09,0.0,0.0,0.0,0.0,0.37,0.97,1.66,1.15,0.05,0.0,0.23,0.23,0.0,0.32,0.14,0.0,0.0,0.05,0.14,0.0,0.46,0.42,0.09,0.23,0.14,0.18,0.69,26.7,0.51,0.42,0.09,0.32,0.78,0.46,0.0,31.58,0.74,2.21,16.69,13.09,3.83,31.58,1.48,0.51,34.4,0.83,56.3,18.26,73.22,24.71,0.6,0.6,2.86,1.48,23.7,0.0,1.84,1.57,0.65,0.09,0.0,0.0,2.12,0.65,1.24,34.1,1689,32.0,75.88163394546453,75.88163394546453
Randy Nteka,1997-12-06,LaLiga,Rayo Vallecano,Left,Angola,Forwards,1129,0.24,0.0,0.24,0.24,0.0,0.0,0.48,0.0,0.21,0.21,0.04,0.25,0.8,0.64,3.51,1.28,0.64,50.0,0.19,0.38,13.6,0.0,0.16,0.03,0.03,11.48,17.78,64.6,146.2,18.33,7.49,9.81,76.4,3.11,5.18,60.0,0.24,0.48,50.0,0.02,0.72,0.4,0.16,0.0,16.66,1.04,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.08,0.72,1.67,0.96,0.08,0.08,0.32,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.4,0.24,0.72,0.32,0.4,0.96,41.7,0.56,1.04,0.16,0.32,1.59,1.59,0.0,29.18,1.91,3.59,11.8,13.95,3.19,29.18,1.2,0.4,33.3,0.64,53.3,12.67,48.63,16.1,0.24,0.4,2.55,1.36,19.21,0.0,3.11,1.2,1.28,0.0,0.0,0.0,2.07,3.27,4.07,44.6,1658,28.0,71.981184524329,71.981184524329
Sergio Camello,2001-02-10,LaLiga,Rayo Vallecano,Right,Spain,Forwards,1134,0.24,0.16,0.4,0.24,0.0,0.0,0.16,0.0,0.33,0.33,0.16,0.48,1.59,2.14,5.4,2.54,0.71,28.1,0.09,0.33,16.3,0.0,0.13,-0.09,-0.09,16.43,20.87,78.7,227.7,35.87,10.08,11.98,84.1,4.84,5.79,83.6,0.56,0.71,77.8,0.09,1.51,0.95,0.56,0.0,19.68,1.03,0.0,0.56,0.16,0.48,0.16,0.0,0.0,0.0,0.0,0.16,0.95,3.02,2.14,0.0,0.56,0.16,0.08,0.08,0.4,0.16,0.0,0.16,0.0,0.0,0.08,0.71,0.24,0.16,0.4,0.16,0.32,0.48,66.7,0.16,0.63,0.08,0.32,1.03,1.27,0.0,31.59,1.35,3.1,13.73,15.56,3.65,31.59,1.83,1.03,56.5,0.63,34.8,17.62,89.52,43.97,1.27,0.63,3.02,1.83,24.44,0.0,0.87,0.79,0.16,0.0,0.0,0.0,2.54,0.87,2.06,29.7,1658,24.0,74.33936226319065,74.5485127625244
Ante Budimir,1991-07-22,LaLiga,Osasuna,Left,Croatia,Forwards,2952,0.64,0.12,0.76,0.4,0.24,0.24,0.12,0.0,0.56,0.38,0.05,0.42,0.7,0.73,4.09,2.77,0.88,31.9,0.14,0.45,13.3,0.0,0.14,0.08,0.02,7.29,12.99,56.1,92.13,15.34,4.94,7.59,65.1,1.8,3.48,51.8,0.15,0.34,45.5,0.04,0.49,0.37,0.21,0.0,12.16,0.73,0.03,0.03,0.0,0.18,0.03,0.0,0.0,0.0,0.0,0.09,0.27,1.4,0.76,0.0,0.09,0.27,0.27,0.0,0.43,0.09,0.0,0.03,0.06,0.24,0.0,0.61,0.27,0.09,0.34,0.18,0.09,0.4,23.1,0.3,0.58,0.12,0.06,0.67,0.79,0.0,24.02,0.95,1.59,10.21,12.41,5.18,23.78,1.31,0.3,23.3,0.88,67.4,11.59,47.74,16.49,0.46,0.24,2.53,1.34,16.46,0.0,1.43,1.07,0.46,0.18,0.0,0.0,1.65,4.15,4.02,50.7,1697,34.0,75.7780784526541,75.7780784526541
Vedat Muriqi,1994-04-24,LaLiga,Mallorca,Left,Kosovo,Forwards,2058,0.31,0.09,0.39,0.22,0.09,0.13,0.04,0.09,0.42,0.32,0.1,0.42,1.01,1.31,4.5,2.27,0.7,30.8,0.1,0.31,12.3,0.0,0.14,-0.12,-0.1,12.9,21.3,60.6,188.0,38.05,7.7,10.67,72.1,3.72,6.73,55.2,0.74,1.22,60.7,0.07,1.14,1.01,0.26,0.0,20.77,0.35,0.0,0.13,0.09,0.44,0.0,0.0,0.0,0.0,0.0,0.17,0.83,1.97,1.31,0.0,0.09,0.35,0.17,0.04,0.26,0.22,0.0,0.0,0.0,0.04,0.0,0.31,0.22,0.13,0.09,0.09,0.13,0.31,42.9,0.17,0.31,0.04,0.31,0.61,1.88,0.0,32.06,2.1,3.28,15.66,13.43,4.99,31.92,1.14,0.39,34.6,0.66,57.7,14.61,63.98,20.82,0.52,0.44,2.41,1.14,24.05,0.0,1.27,1.79,0.83,0.04,0.04,0.04,2.14,5.9,4.29,57.9,1641,31.0,73.34607668345765,73.34607668345765
Cyle Larin,1995-04-17,LaLiga,Mallorca,Left,Canada,Forwards,1764,0.36,0.1,0.46,0.31,0.05,0.05,0.2,0.0,0.35,0.31,0.07,0.38,1.02,1.02,4.85,1.94,0.71,36.8,0.16,0.43,11.7,0.0,0.16,0.01,-0.01,10.92,16.17,67.5,135.46,20.36,7.09,9.23,76.8,2.7,4.34,62.4,0.31,0.46,66.7,0.02,0.41,0.56,0.15,0.0,15.77,0.36,0.0,0.0,0.0,0.31,0.1,0.0,0.0,0.0,0.0,0.05,0.56,1.07,0.66,0.0,0.0,0.2,0.2,0.0,0.15,0.05,0.0,0.0,0.05,0.05,0.0,0.61,0.31,0.05,0.31,0.26,0.15,0.46,33.3,0.31,0.61,0.15,0.05,0.66,0.82,0.0,28.62,1.02,2.81,13.57,12.6,3.67,28.57,1.53,0.41,26.7,1.02,66.7,16.12,83.32,28.06,0.92,0.46,3.67,2.96,21.89,0.0,1.63,1.58,1.22,0.05,0.0,0.0,2.35,3.37,4.39,43.4,1641,30.0,71.28973029891165,71.28973029891165
Mikel Oyarzabal,1997-04-21,LaLiga,Real Sociedad,Left,Spain,Forwards,2250,0.36,0.12,0.48,0.2,0.16,0.16,0.16,0.04,0.4,0.27,0.1,0.37,1.24,1.12,5.32,1.56,0.52,33.3,0.13,0.38,13.4,0.0,0.17,-0.04,-0.07,14.84,20.2,73.5,196.04,33.48,9.44,11.04,85.5,3.96,5.32,74.4,0.44,0.92,47.8,0.07,0.6,0.76,0.4,0.12,18.72,1.44,0.0,0.08,0.12,0.4,0.16,0.0,0.0,0.0,0.0,0.04,0.68,1.52,1.08,0.0,0.04,0.16,0.24,0.0,0.2,0.12,0.0,0.0,0.0,0.08,0.0,1.0,0.64,0.36,0.4,0.24,0.4,0.92,43.5,0.52,0.68,0.04,0.16,1.16,0.6,0.0,29.16,0.6,2.36,13.92,13.04,4.28,29.0,0.8,0.36,45.0,0.36,45.0,15.72,73.48,30.88,0.72,0.64,2.52,1.2,21.28,0.0,0.56,0.88,0.72,0.04,0.0,0.0,1.92,1.28,2.92,30.5,1667,28.0,73.70152298589763,73.70152298589763
Umar Sadiq,1997-02-02,LaLiga,Valencia,Right,Nigeria,Forwards,1052,0.43,0.0,0.43,0.43,0.0,0.0,0.43,0.0,0.31,0.31,0.08,0.39,1.2,1.03,5.73,2.14,0.6,28.0,0.2,0.71,14.3,0.0,0.16,0.12,0.12,12.83,18.91,67.9,177.09,26.09,8.21,11.21,73.3,3.76,4.96,75.9,0.34,0.6,57.1,0.04,0.6,0.51,0.0,0.0,17.2,1.54,0.0,0.0,0.26,0.17,0.09,0.0,0.0,0.0,0.0,0.17,0.6,1.54,0.86,0.0,0.17,0.26,0.09,0.17,0.26,0.0,0.0,0.09,0.09,0.0,0.09,1.03,0.51,0.34,0.51,0.17,0.43,0.68,62.5,0.26,0.86,0.09,0.17,1.2,0.77,0.0,33.02,0.77,2.91,13.94,16.77,4.88,33.02,2.91,1.37,47.1,1.37,47.1,19.16,104.2,31.48,0.86,0.51,4.71,2.57,25.24,0.0,3.17,1.45,1.54,0.0,0.0,0.0,1.63,2.74,2.57,51.6,1679,28.0,71.39096157072292,71.39096157072292
Hugo Duro,1999-11-10,LaLiga,Valencia,Left,Spain,Forwards,2166,0.46,0.08,0.54,0.42,0.04,0.04,0.21,0.0,0.39,0.36,0.05,0.41,0.54,1.16,3.66,1.99,0.66,33.3,0.21,0.63,11.1,0.04,0.18,0.07,0.06,12.3,17.78,69.2,170.36,20.44,7.15,9.27,77.1,3.99,5.48,72.7,0.46,0.87,52.4,0.02,0.58,0.75,0.12,0.0,16.04,1.7,0.04,0.0,0.04,0.29,0.04,0.0,0.0,0.0,0.0,0.04,0.62,1.21,0.79,0.0,0.04,0.17,0.21,0.0,0.21,0.04,0.0,0.0,0.04,0.12,0.0,0.54,0.33,0.17,0.29,0.08,0.21,0.54,38.5,0.33,0.46,0.08,0.42,0.96,0.46,0.0,26.34,0.62,1.95,13.63,11.01,3.74,26.3,0.83,0.29,35.0,0.54,65.0,12.34,43.09,15.12,0.33,0.29,2.41,1.33,19.57,0.0,1.58,2.08,0.29,0.08,0.04,0.04,1.91,2.45,4.2,36.9,1679,26.0,73.88157819569876,73.88157819569876
Rafa Mir,1997-06-18,LaLiga,Valencia,Right,Spain,Forwards,753,0.12,0.24,0.36,0.12,0.0,0.0,0.48,0.0,0.36,0.36,0.08,0.45,1.2,2.39,3.35,3.23,0.84,25.9,0.04,0.14,16.5,0.0,0.11,-0.24,-0.24,17.21,23.9,72.0,265.82,47.93,9.08,11.24,80.9,6.1,7.53,81.0,1.31,2.51,52.4,0.06,0.48,1.79,0.48,0.24,23.55,0.24,0.0,0.0,0.12,0.84,0.0,0.0,0.0,0.0,0.0,0.12,1.08,1.31,0.96,0.0,0.0,0.36,0.0,0.0,0.48,0.24,0.0,0.0,0.24,0.0,0.0,1.43,0.72,0.96,0.48,0.0,0.36,1.08,33.3,0.72,0.6,0.0,0.6,2.03,1.08,0.0,35.14,1.43,5.74,16.37,13.27,3.23,35.14,1.67,0.24,14.3,1.31,78.6,17.33,77.93,31.79,0.84,0.0,1.43,0.96,24.26,0.0,1.55,0.84,0.6,0.0,0.0,0.0,2.15,1.43,2.51,36.4,1679,28.0,68.40378034023105,68.40378034023105
Borja Mayoral,1997-04-05,LaLiga,Getafe,Right,Spain,Forwards,1114,0.4,0.08,0.48,0.32,0.08,0.08,0.0,0.0,0.27,0.21,0.07,0.29,0.81,1.05,3.47,1.54,0.65,42.1,0.21,0.5,13.9,0.0,0.14,0.13,0.11,15.92,20.52,77.6,232.35,37.08,9.13,10.75,85.0,4.61,5.66,81.4,1.05,1.37,76.5,0.02,0.65,0.89,0.16,0.0,18.18,2.18,0.16,0.0,0.4,0.73,0.24,0.0,0.0,0.0,0.0,0.16,0.57,1.54,1.29,0.0,0.08,0.08,0.0,0.08,0.16,0.08,0.0,0.0,0.08,0.0,0.0,0.4,0.32,0.16,0.16,0.08,0.24,0.73,33.3,0.48,0.32,0.0,0.16,0.57,0.48,0.0,29.57,0.73,2.18,14.06,13.82,3.23,29.49,1.62,0.48,30.0,0.81,50.0,16.89,68.83,25.93,0.73,0.65,1.86,1.62,20.28,0.0,0.73,1.21,0.97,0.0,0.0,0.0,2.91,1.37,3.31,29.3,1626,28.0,73.42016447882835,73.42016447882835
Álvaro Rodríguez,2004-07-14,LaLiga,Getafe,Left,Uruguay,Forwards,852,0.21,0.0,0.21,0.21,0.0,0.0,0.63,0.0,0.13,0.13,0.03,0.16,0.63,1.37,5.28,2.64,1.06,40.0,0.08,0.2,16.8,0.0,0.05,0.08,0.08,11.62,25.25,46.0,158.03,36.34,7.5,12.89,58.2,3.17,7.39,42.9,0.42,1.27,33.3,0.04,0.53,1.58,0.21,0.11,24.61,0.11,0.0,0.21,0.11,0.53,0.0,0.0,0.0,0.0,0.0,0.53,0.21,1.69,0.95,0.0,0.42,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.74,0.0,0.74,0.32,0.53,1.06,50.0,0.53,2.43,0.0,0.32,1.37,1.27,0.0,43.84,1.58,2.85,20.49,21.55,5.81,43.84,3.49,1.69,48.5,1.58,45.5,19.65,77.64,23.35,1.37,0.21,3.91,2.11,31.69,0.0,3.17,2.01,0.63,0.0,0.0,0.0,3.27,10.99,8.87,55.3,1626,21.0,68.5021449524411,72.18094497963521
Javi Puado,1998-05-25,LaLiga,Espanyol,Right,Spain,Forwards,2974,0.36,0.12,0.48,0.21,0.15,0.15,0.24,0.0,0.35,0.23,0.09,0.32,2.21,2.27,3.42,2.0,0.58,28.8,0.11,0.37,20.7,0.0,0.12,0.01,-0.02,15.77,20.52,76.8,241.83,43.85,8.2,9.77,83.9,5.81,6.93,83.8,1.06,2.0,53.0,0.06,0.67,1.09,0.45,0.12,19.7,0.7,0.0,0.18,0.18,0.82,0.21,0.03,0.0,0.0,0.0,0.12,0.58,1.66,1.33,0.0,0.06,0.15,0.12,0.0,0.21,0.18,0.0,0.0,0.0,0.03,0.0,0.67,0.51,0.42,0.12,0.12,0.24,0.61,40.0,0.36,0.54,0.09,0.15,0.82,0.58,0.0,29.81,0.82,4.24,13.68,12.5,3.09,29.66,1.85,0.64,34.4,1.06,57.4,18.85,137.03,59.31,1.45,0.67,2.15,1.0,21.27,0.0,0.67,0.82,0.18,0.03,0.0,0.0,3.18,0.27,0.91,23.1,1635,27.0,74.1114423250551,74.1114423250551
Irvin Cardona,1997-08-08,LaLiga,Saint-Étienne,Right,France,Forwards,606,0.15,0.15,0.3,0.15,0.0,0.0,0.15,0.0,0.16,0.16,0.09,0.25,2.08,2.23,6.39,1.49,0.45,30.0,0.1,0.33,17.3,0.15,0.11,-0.01,-0.01,14.85,23.91,62.1,212.08,64.16,8.32,10.84,76.7,4.6,7.28,63.3,0.89,3.12,28.6,0.18,1.34,1.34,1.63,0.59,22.87,0.89,0.0,0.15,0.3,2.08,0.59,0.0,0.0,0.0,0.0,0.15,0.89,2.97,2.38,0.15,0.0,0.3,0.15,0.0,0.45,0.3,0.0,0.0,0.15,0.0,0.0,1.19,0.74,0.3,0.59,0.3,0.89,2.38,37.5,1.49,0.74,0.15,0.59,1.78,1.49,0.0,36.53,1.04,4.01,14.55,18.27,3.42,36.53,1.93,0.45,23.1,1.19,61.5,16.93,129.8,68.32,2.08,0.89,3.27,0.59,24.8,0.0,1.19,1.19,0.74,0.0,0.0,0.0,2.82,1.19,1.63,42.1,1533,28.0,61.76485264656629,61.76485264656629
Kiké,1989-11-25,LaLiga,Alavés,Right,Spain,Forwards,2542,0.46,0.0,0.46,0.35,0.11,0.11,0.18,0.04,0.34,0.25,0.03,0.29,0.89,1.77,5.59,2.12,0.85,40.0,0.17,0.42,15.4,0.0,0.12,0.12,0.1,13.6,20.82,65.3,186.9,32.4,8.21,10.87,75.6,3.75,5.98,62.7,0.71,1.59,44.4,0.06,0.46,1.06,0.21,0.04,20.22,0.5,0.07,0.14,0.21,0.46,0.04,0.0,0.0,0.0,0.0,0.11,0.64,1.35,1.06,0.0,0.0,0.07,0.21,0.0,0.14,0.11,0.0,0.0,0.0,0.04,0.0,0.67,0.5,0.04,0.42,0.21,0.21,0.6,35.3,0.39,0.39,0.14,0.04,0.71,0.81,0.0,31.65,0.85,2.48,14.3,15.33,4.25,31.55,1.24,0.46,37.1,0.71,57.1,19.4,75.63,26.16,0.64,0.35,3.47,1.49,25.46,0.04,1.73,2.09,0.78,0.04,0.0,0.0,3.19,3.89,3.54,52.4,1644,36.0,73.01898336055692,73.01898336055692
Toni Martínez,1997-06-30,LaLiga,Alavés,Right,Spain,Forwards,1012,0.36,0.0,0.36,0.36,0.0,0.0,0.09,0.0,0.32,0.32,0.05,0.37,1.16,0.98,5.07,4.09,1.33,32.6,0.09,0.27,17.1,0.0,0.08,0.04,0.04,12.45,21.34,58.3,149.05,24.9,8.54,11.74,72.7,2.85,5.96,47.8,0.27,0.89,30.0,0.08,0.98,0.98,0.36,0.09,20.19,0.89,0.0,0.18,0.27,0.62,0.09,0.0,0.0,0.0,0.0,0.27,0.18,2.4,1.42,0.0,0.44,0.18,0.18,0.18,0.09,0.0,0.0,0.0,0.09,0.0,0.0,1.07,0.62,0.44,0.36,0.27,0.36,0.71,50.0,0.36,0.71,0.18,0.09,1.16,1.33,0.0,35.66,1.33,3.02,15.21,18.05,6.23,35.66,1.33,0.8,60.0,0.44,33.3,14.41,71.24,24.01,0.8,0.62,3.65,0.98,24.19,0.0,1.51,1.16,0.71,0.0,0.09,0.0,2.67,7.03,6.05,53.7,1644,28.0,73.1482452648933,73.1482452648933
Abel Ruiz,2000-01-28,LaLiga,Girona,Right,Spain,Forwards,1346,0.27,0.0,0.27,0.2,0.07,0.13,0.2,0.0,0.31,0.2,0.03,0.23,1.4,1.54,4.75,1.4,0.47,33.3,0.14,0.43,14.0,0.0,0.14,-0.04,0.0,15.98,18.19,87.9,241.25,32.1,9.29,10.1,92.1,5.55,5.88,94.3,1.0,1.47,68.2,0.05,0.53,0.94,0.33,0.0,15.91,2.21,0.0,0.07,0.07,0.27,0.13,0.0,0.0,0.0,0.0,0.07,0.33,1.14,0.8,0.0,0.07,0.2,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.4,0.13,0.13,0.13,0.13,0.13,0.33,40.0,0.2,0.47,0.13,0.33,0.74,0.47,0.0,26.14,0.74,1.87,12.57,11.84,3.95,26.01,1.34,0.47,35.0,0.67,50.0,15.04,85.19,27.62,0.8,0.67,2.14,1.2,18.79,0.0,0.47,0.87,0.33,0.0,0.0,0.0,1.4,0.6,1.27,32.1,1637,25.0,72.75071007442462,72.75071007442462
Bojan Miovski,1999-06-24,LaLiga,Girona,Left,North Macedonia,Forwards,869,0.21,0.1,0.31,0.21,0.0,0.0,0.0,0.0,0.28,0.28,0.02,0.3,0.41,0.41,3.42,1.45,0.41,28.6,0.14,0.5,12.3,0.0,0.19,-0.07,-0.07,8.91,11.7,76.1,130.49,10.98,5.07,6.01,84.5,3.42,4.35,78.6,0.31,0.31,100.0,0.02,0.41,0.21,0.1,0.1,9.74,1.86,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.1,0.41,1.04,0.41,0.0,0.1,0.21,0.21,0.1,0.41,0.21,0.0,0.0,0.1,0.1,0.0,0.73,0.52,0.21,0.21,0.31,0.21,0.73,28.6,0.52,0.41,0.0,0.21,0.93,0.73,0.0,18.85,0.52,2.07,7.56,9.22,3.0,18.85,0.73,0.31,42.9,0.21,28.6,9.11,33.66,8.6,0.1,0.41,1.76,0.62,12.53,0.0,1.35,1.14,0.83,0.1,0.0,0.0,1.35,1.35,2.28,37.1,1637,26.0,69.67005789750253,69.67005789750253
Cristhian Stuani,1986-10-12,LaLiga,Girona,Right,Uruguay,Forwards,1078,0.92,0.17,1.09,0.67,0.25,0.25,0.33,0.0,0.68,0.48,0.05,0.54,0.17,0.83,3.01,2.59,1.34,51.6,0.26,0.5,12.7,0.0,0.19,0.24,0.18,8.93,12.86,69.5,121.06,13.44,5.68,7.1,80.0,2.67,4.17,64.0,0.25,0.67,37.5,0.08,0.5,0.08,0.25,0.0,11.1,1.75,0.0,0.08,0.0,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.25,1.17,0.83,0.0,0.08,0.25,0.0,0.0,0.25,0.17,0.0,0.0,0.08,0.0,0.0,0.75,0.58,0.08,0.58,0.08,0.42,0.67,62.5,0.25,0.33,0.08,0.58,1.34,0.92,0.0,21.37,0.83,2.67,8.93,9.85,4.59,21.12,0.42,0.17,40.0,0.17,40.0,8.01,24.38,6.93,0.0,0.17,2.0,0.58,13.02,0.0,2.92,0.58,0.92,0.0,0.0,0.0,1.17,1.84,1.42,56.4,1637,39.0,76.53290207957033,76.53290207957033
Miguel,1999-09-03,LaLiga,Leganés,Right,Spain,Forwards,1724,0.05,0.16,0.21,0.0,0.05,0.1,0.16,0.0,0.26,0.17,0.07,0.25,0.73,0.84,4.7,1.72,0.73,42.4,0.0,0.0,15.5,0.0,0.1,-0.2,-0.17,7.26,12.37,58.6,105.5,19.89,4.02,5.95,67.5,2.4,3.76,63.9,0.31,0.78,40.0,0.04,0.37,0.47,0.26,0.05,11.43,0.78,0.0,0.21,0.05,0.47,0.1,0.0,0.0,0.0,0.0,0.16,0.63,1.46,0.68,0.0,0.1,0.26,0.31,0.1,0.31,0.26,0.0,0.05,0.0,0.0,0.0,0.84,0.37,0.31,0.21,0.31,0.21,0.73,28.6,0.52,0.78,0.21,0.21,1.04,1.2,0.05,24.64,1.36,2.66,10.7,11.59,3.13,24.54,1.88,0.42,22.2,1.31,69.4,13.47,54.66,17.91,0.89,0.47,3.76,1.36,17.07,0.0,1.2,1.57,0.63,0.0,0.0,0.0,1.41,1.51,5.01,23.2,1599,26.0,69.31704825575929,69.31704825575929
Fábio Silva,2002-07-19,LaLiga,Las Palmas,Right,Portugal,Forwards,1866,0.48,0.14,0.63,0.39,0.1,0.14,0.34,0.0,0.42,0.31,0.1,0.41,1.45,1.25,5.74,2.22,0.96,43.5,0.17,0.4,14.8,0.0,0.14,0.06,0.08,14.9,22.48,66.3,200.11,34.24,8.73,12.06,72.4,4.0,6.03,66.4,0.77,1.4,55.2,0.09,0.77,0.63,0.68,0.14,20.31,2.12,0.05,0.14,0.14,1.01,0.24,0.0,0.0,0.0,0.0,0.05,1.16,2.07,1.45,0.0,0.19,0.14,0.24,0.05,0.24,0.14,0.0,0.05,0.05,0.0,0.0,0.58,0.34,0.19,0.24,0.14,0.19,0.68,28.6,0.48,0.58,0.0,0.19,0.77,1.3,0.0,34.05,1.54,3.33,15.0,16.16,4.87,33.91,2.56,1.01,39.6,1.4,54.7,15.92,94.97,39.07,0.53,1.01,2.8,1.45,23.68,0.0,1.88,2.07,0.96,0.0,0.0,0.0,2.32,2.46,2.51,49.5,1564,23.0,73.04417475729282,73.65303037777035
Oliver McBurnie,1996-06-04,LaLiga,Las Palmas,Right,Scotland,Forwards,1837,0.15,0.29,0.44,0.15,0.0,0.0,0.15,0.0,0.24,0.24,0.14,0.37,0.34,1.32,3.67,1.57,0.59,37.5,0.09,0.25,12.3,0.0,0.15,-0.09,-0.09,13.52,20.53,65.9,166.14,38.17,9.06,12.4,73.1,3.09,5.19,59.4,0.29,0.44,66.7,0.05,1.18,1.13,0.34,0.05,18.91,1.52,0.05,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.1,0.25,2.06,1.57,0.0,0.15,0.2,0.15,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.73,0.34,0.25,0.39,0.1,0.25,0.59,41.7,0.34,0.73,0.25,0.29,1.03,1.18,0.0,29.64,1.42,2.79,15.04,12.1,4.56,29.64,1.67,0.78,47.1,0.88,52.9,13.18,46.94,11.42,0.2,0.34,1.86,1.03,20.87,0.0,1.57,0.93,0.44,0.0,0.0,0.0,1.96,4.26,4.56,48.3,1564,29.0,72.28196335651641,72.28196335651641
